Sample	Pond	Replicate	control	sex	sample_type	sample_type_detailed	GILLS	Sample_or_neg	DNA.conc.ng.uL	Conc_16S	Conc_18S	MinIon
Ib	1	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	4.57	30.076	49.4833	FALSE
Ic	1	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	8.47	16.2194	62.1386	FALSE
Id	1	d	FALSE	NA	Incubation	Inc_after	FALSE	sample	4.65	29.3011	55.9204	FALSE
I2	2	NA	TRUE	NA	Incubation	Inc_before	FALSE	sample	1.33	37.336	43.4621	FALSE
I2a	2	a	FALSE	NA	Incubation	Inc_after	FALSE	sample	24.3	29.8878	54.9969	FALSE
I2b	2	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	14.3	23.8486	73.0909	FALSE
I2c	2	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	18.4	22.4127	22.7799	FALSE
I3a	3	a	FALSE	NA	Incubation	Inc_after	FALSE	sample	4.87	24.102	48.7292	FALSE
I3b_R	3	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	22	27.9045	52.6282	FALSE
I3c	3	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	16.5	41.8814	62.7064	FALSE
I3	3	NA	TRUE	NA	Incubation	Inc_before	FALSE	sample	4.05	43.3967	47.9366	FALSE
I4a	4	a	FALSE	NA	Incubation	Inc_after	FALSE	sample	144	39.0847	65.9724	FALSE
I4b	4	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	44.8	26.2955	62.1012	FALSE
I4c	4	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	148	7.8189	35.1788	FALSE
IR4	4	NA	TRUE	NA	Incubation	Inc_before	FALSE	sample	12	46.6986	36.9456	FALSE
I4as	4	as	FALSE	NA	Incubation	Inc_after	FALSE	sample	18.9	42.4591	75.5662	FALSE
I4bs	4	bs	FALSE	NA	Incubation	Inc_after	FALSE	sample	20.8	27.1208	47.8788	FALSE
I4cs	4	cs	FALSE	NA	Incubation	Inc_after	FALSE	sample	94.2	10.5317	43.9704	FALSE
I5a	5	a	FALSE	NA	Incubation	Inc_after	FALSE	sample	99.8	11.0262	40.1488	FALSE
I5b	5	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	217	1.5885	42.1638	FALSE
I5c	5	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	26.1	36.6666	60.8671	FALSE
I6a	6	a	FALSE	NA	Incubation	Inc_after	FALSE	sample	458	9.5791	46.9013	TRUE
I6b	6	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	660	13.428	49.6052	TRUE
I6c	6	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	84.4	16.6188	42.4527	FALSE
I6	6	NA	TRUE	NA	Incubation	Inc_before	FALSE	sample	5.85	27.6813	34.7347	FALSE
I7a	7	a	FALSE	NA	Incubation	Inc_after	FALSE	sample	48.9	29.4702	56.34	TRUE
I7b	7	b	FALSE	NA	Incubation	Inc_after	FALSE	sample	47.4	21.0006	47.1251	TRUE
I7c	7	c	FALSE	NA	Incubation	Inc_after	FALSE	sample	484	0.1383	0.0274	TRUE
T3c	1	3	FALSE	NA	Swab	Swab_cd	FALSE	sample	3.88	6.666	60.1234	FALSE
T3f	1	3	FALSE	NA	Swab	Swab_fl	FALSE	sample	4.45	8.2777	68.2455	FALSE
T3g	1	3	FALSE	NA	Swab	Swab_gl	TRUE	sample	46.5	15.9645	53.7103	FALSE
T4c	1	4	FALSE	NA	Swab	Swab_cd	FALSE	sample	1.26	7.8713	44.4196	FALSE
T4f	1	4	FALSE	NA	Swab	Swab_fl	FALSE	sample	10.6	3.7355	34.6052	FALSE
T4g	1	4	FALSE	NA	Swab	Swab_gl	TRUE	sample	94.8	4.366	39.749	FALSE
T5c	1	5	FALSE	NA	Swab	Swab_cd	FALSE	sample	10.65	6.9039	35.3076	FALSE
T10	2	10	FALSE	NA	Swab	Swab_fl	FALSE	sample	2.84	8.7856	50.3399	FALSE
T11	3	11	FALSE	NA	Swab	Swab_fl	FALSE	sample	13.6	6.5145	71.736	FALSE
T11c	3	11	TRUE	NA	Swab	Swab_cd	FALSE	sample	0	13.9753	40.0194	FALSE
T12	3	12	FALSE	NA	Swab	Swab_fl	FALSE	sample	13.6	8.9347	70.9925	FALSE
T12c	3	12	TRUE	NA	Swab	Swab_cd	FALSE	sample	0	5.7966	36.9329	FALSE
T13s	3	13	FALSE	NA	Swab	Swab_fl	FALSE	sample	9.18	11.996	64.9821	FALSE
T14s	3	14	FALSE	NA	Swab	Swab_fl	FALSE	sample	4.89	12.3302	74.1565	FALSE
T15s	3	15	FALSE	NA	Swab	Swab_fl	FALSE	sample	20.1	18.8717	64.9118	FALSE
T16s	3	16	FALSE	NA	Swab	Swab_fl	FALSE	sample	8.77	12.0442	74.4118	FALSE
T17s	3	17	FALSE	NA	Swab	Swab_fl	FALSE	sample	8.74	13.5129	79.3211	FALSE
T16	4	16	FALSE	NA	Swab	Swab_fl	FALSE	sample	490	0.9101	57.1237	FALSE
T17	4	17	FALSE	NA	Swab	Swab_fl	FALSE	sample	17	12.8854	74.8858	FALSE
T18	4	18	FALSE	NA	Swab	Swab_fl	FALSE	sample	24.1	12.6058	66.521	FALSE
T19	4	19	FALSE	NA	Swab	Swab_fl	FALSE	sample	14.8	14.3561	70.0034	FALSE
T20	4	20	FALSE	NA	Swab	Swab_fl	FALSE	sample	15	1.0855	0.1026	FALSE
T18s	4	18	FALSE	NA	Swab	Swab_fl	FALSE	sample	12.1	26.8478	57.3805	FALSE
T19s	4	19	FALSE	NA	Swab	Swab_fl	FALSE	sample	121	1.9779	10.0157	FALSE
T20s	4	20	FALSE	NA	Swab	Swab_fl	FALSE	sample	1.97	4.105	64.2823	FALSE
T21s	4	21	FALSE	NA	Swab	Swab_fl	FALSE	sample	76.9	3.5395	41.6072	FALSE
T22s	4	22	FALSE	NA	Swab	Swab_fl	FALSE	sample	2.72	6.6383	56.1942	FALSE
T21	5	21	FALSE	NA	Swab	Swab_fl	FALSE	sample	8.95	8.7799	68.6519	FALSE
T22	5	22	FALSE	NA	Swab	Swab_fl	FALSE	sample	2.28	9.1876	67.9979	FALSE
T23	5	23	FALSE	NA	Swab	Swab_fl	FALSE	sample	5.7	8.0813	74.1673	FALSE
T24	5	24	FALSE	NA	Swab	Swab_fl	FALSE	sample	3.9	4.9005	62.5732	FALSE
T25	5	25	FALSE	NA	Swab	Swab_fl	FALSE	sample	14.3	4.3653	44.1707	FALSE
Ts23	6	23	FALSE	MALE	Swab	Swab_fl	FALSE	sample	4.9	2.7695	34.8261	FALSE
Ts24	6	24	FALSE	MALE	Swab	Swab_fl	FALSE	sample	33.2	2.8891	39.6703	FALSE
Ts25	6	25	FALSE	MALE	Swab	Swab_fl	FALSE	sample	13.6	2.8204	31.1972	FALSE
Ts26	6	26	FALSE	MALE	Swab	Swab_fl	FALSE	sample	8.47	15.1393	43.886	FALSE
Ts27	6	27	FALSE	MALE	Swab	Swab_fl	FALSE	sample	65.1	1.023	42.8641	FALSE
Ts23g	6	23	FALSE	MALE	Swab	Swab_gl	TRUE	sample	10.6	2.1248	43.9902	FALSE
Ts24g	6	24	FALSE	MALE	Swab	Swab_gl	TRUE	sample	154	0.8505	15.6497	FALSE
Ts25g	6	25	FALSE	MALE	Swab	Swab_gl	TRUE	sample	4.08	5.6234	59.6587	FALSE
Ts26g	6	26	FALSE	MALE	Swab	Swab_gl	TRUE	sample	1.87	37.1622	69.9873	FALSE
Ts27g	6	27	FALSE	MALE	Swab	Swab_gl	TRUE	sample	39.6	24.6216	48.1836	FALSE
Ts28	7	28	FALSE	FEMALE	Swab	Swab_fl	FALSE	sample	0.81	0.7588	1.1259	FALSE
Ts29	7	29	FALSE	FEMALE	Swab	Swab_fl	FALSE	sample	4.46	0.7409	0.8988	FALSE
Ts30	7	30	FALSE	FEMALE	Swab	Swab_fl	FALSE	sample	2.16	3.3697	53.8197	FALSE
Ts31	7	31	FALSE	FEMALE	Swab	Swab_fl	FALSE	sample	55	1.0037	22.1812	FALSE
Ts32	7	32	FALSE	FEMALE	Swab	Swab_fl	FALSE	sample	41.8	17.4273	70.1171	TRUE
Ts28g	7	28	FALSE	FEMALE	Swab	Swab_gl	TRUE	sample	2.56	18.8139	77.6096	FALSE
Ts29g	7	29	FALSE	FEMALE	Swab	Swab_gl	TRUE	sample	13.6	1.4321	5.3196	FALSE
Ts30g	7	30	FALSE	FEMALE	Swab	Swab_gl	TRUE	sample	21.1	45.3166	89.7767	TRUE
Ts31g	7	31	FALSE	FEMALE	Swab	Swab_gl	TRUE	sample	31.4	25.4296	77.5204	TRUE
Ts32g	7	32	FALSE	FEMALE	Swab	Swab_gl	TRUE	sample	21.2	4.0266	74.5708	FALSE
extr_neg2-1	NA	NA	NA	NA	control	control_neg_extr	NA	neg	NA	0.6182	0.0781	FALSE
mock_dna2-1	NA	NA	NA	NA	control	control_mock_DNA	NA	sample	NA	57.084	32.3196	FALSE
mock_dna2-2	NA	NA	NA	NA	control	control_mock_DNA	NA	sample	NA	40.7339	71.5933	FALSE
mock_extr2-1	NA	NA	NA	NA	control	control_mock_extr	NA	sample	NA	63.361	104.6894	FALSE
mockDNA	NA	NA	NA	NA	control	control_mock_DNA	NA	sample	NA	64.4112	51.5308	FALSE
pcr_neg2-1	NA	NA	NA	NA	control	control_neg_PCR	NA	neg	NA	0.2988	0.228	FALSE
pcr_neg2-2	NA	NA	NA	NA	control	control_neg_PCR	NA	neg	NA	0.0608	0.0775	FALSE
PCRneg	NA	NA	NA	NA	control	control_neg_PCR	NA	neg	NA	0.1009	0.017	FALSE
Reag_cntr	NA	NA	NA	NA	control	control_neg_extr	NA	neg	NA	0.1843	0.1239	FALSE
RNAL_cntr	NA	NA	NA	NA	control	control_neg_extr	NA	neg	NA	0.2326	0.4001	FALSE
